source	reference	greedy	beam
ڈچی آف نارمنڈی ، جسے انہوں نے فرانسیسی تاج کے ساتھ معاہدے کے ذریعہ تشکیل دیا ، قرون وسطی کے فرانس کا ایک عظیم فیوڈ تھا ، اور نارمنڈی کے <ans> رچرڈ اول </ans> کے تحت ایک مربوط اور خوفناک شہنشاہی میں تشکیل دیا گیا تھا۔	جو نورمنڈی کے ڈچی پر حکمرانی کی	کس کے تحت شہنشاہ نے شہنشاہ شہنشاہ شہنشاہ تشکیل دیا؟	نپولین کے کس شہنشاہ نے تحت شہنشاہ شہنشاہ تشکیل دیا؟
نارمن اپنی جنگی روح اور بالآخر اپنی عیسائی عقیدت کے لئے مشہور تھے ، جو <ans> کیتھولک </ans> آرتھوڈوکس کے نمائندے بن گئے جس میں انہوں نے ہم آہنگ کیا۔	نارمنز کا مذہب کیا تھا؟	آرتھوڈوکس مذہب کے کس مذہب کے بن گئے؟	آرتھوڈوکس مذہب کس مذہب بن گئے؟
نارمن اپنی جنگی روح اور بالآخر اپنی عیسائی عقیدت کے لئے مشہور تھے ، جس میں وہ <ans> کیتھولک آرتھوڈوکس </ans> کے نمائندے بن گئے جس میں انہوں نے ہم آہنگ کیا۔	نارمنز کا مذہب کیا تھا؟	کس نے کس کے کے کے لئے بن گئے؟	کس نے کس سیاسی فلسفے کے لئے بن گئے؟
نورمنڈی کا ڈچی ، جو <ans> 911 </ans> میں ایک فیوڈم کے طور پر شروع ہوا ، مغربی فرانس کے بادشاہ چارلس III اور مشہور وائکنگ حکمران رولو کے مابین سینٹ کلیئر سور ایپٹ کے معاہدے کے ذریعہ قائم کیا گیا تھا ، اور یہ سابقہ فرینک سلطنت نیوسٹریا میں واقع تھا۔	ڈچی آف نارمنڈی کی بنیاد کب رکھی گئی تھی؟	نورمنڈی کا کس سال شروع ہوا؟	نورمنڈی کس سال شروع کیا گیا تھا؟
ڈچی آف نارمنڈی ، جو 911 میں ایک فیوڈم کے طور پر شروع ہوا ، مغربی فرانس کے <ans> بادشاہ چارلس III </ans> اور مشہور وائکنگ حکمران رولو کے مابین سینٹ کلیئر سور ایپٹ کے معاہدے کے ذریعہ قائم کیا گیا تھا ، اور یہ سابقہ فرینک بادشاہت نیوسٹریا میں واقع تھا۔	رولو نے سینٹ کلیئر سور ایپٹ کے معاہدے پر کس کے ساتھ دستخط کیے؟	کون سا کے ساتھ ساتھ، کون سا کے ساتھ کے ساتھ کے لئے قائم کیا گیا تھا؟	کون سا کے ساتھ ساتھ، کون سا ملک قائم کیا گیا تھا؟
یہ علاقہ موجودہ اپر نارمنڈی کے شمالی حصے سے نیچے دریائے <ans> سین </ans> تک تھا ، لیکن ڈچی بالآخر سین سے باہر مغرب میں پھیل جائے گی۔	کون سا دریا اصل میں ڈچی کی حد بندی کرتا تھا	کون سے شمالی حصے کے شمالی حصے کے شمال سے نیچے شمال تک پھیلا ہوا؟	کون سا علاقہ شمال میں شمال سے شمال تک شمال سے شمال تک شمال سے شمال میں شمال سے شمال تک پھیلا؟؟
معاہدے نے رولو اور اس کے مردوں کو مزید وائکنگ حملے کے خلاف تحفظ کے بدلے میں دریا <ans> ایپٹ </ans> اور بحر اوقیانوس کے ساحل کے درمیان فرانسیسی زمینیں پیش کیں۔	کون سا دریا اصل میں ڈچی کی حد بندی کرتا تھا	اس کے کے کے کے کے کے کے کے؟	اس معاہدے پر حملہ کرنے گیا تھا؟
<ans> رولو </ans> کی آمد سے پہلے ، اس کی آبادی پکارڈی یا آئل ڈی فرانس سے مختلف نہیں تھی ، جسے فرینک سمجھا جاتا تھا۔	پہنچنے پر کس نے اصل وائکنگ آباد کاروں کو ایک مشترکہ شناخت دی؟	فرانس کی پہلے فرانس کی کون سی کیا تھی؟	فرانس کے پہلے فرانس میں کون سے لوگ فرانس کی فرانس سے تعلق نہیں تھی؟
زیادہ تر نارمن شورویروں کو غریب اور زمین کی بھوک لگی رہی ، اور 1066 تک نارمنڈی ایک نسل سے زیادہ عرصے سے <ans> لڑنے والے گھوڑوں </ans> کی برآمد کر رہا تھا۔	نارمن کی اہم برآمدات میں سے ایک کیا تھا؟	11666 تک کس سے زیادہ کس چیز کی برآمد کر رہے تھے؟	1166 تک کس چیز کی توقع کر رہا تھا؟
نارمنوں کے اٹلی میں داخل ہونے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، پیچنیگس ، بلغاروں اور خاص طور پر <ans> سلجک ترکوں </ans> کے خلاف لڑے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	کون سا گروپ نے کے کے کے کے خلاف لڑا؟	کون سا مشہور گروپ نےوں پر حملہ کیا تھا؟
نارمنز نے اٹلی میں داخل ہونا شروع کرنے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، <ans> پیچنیگس ، بلغارین ، اور خاص طور پر سلجک ترکوں </ans> کے خلاف لڑتے ہوئے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	انہوں نے کس کے خلاف خلاف کے خلاف خلاف؟	انہوں نے کس کے خلاف کے خلاف لڑا؟
نارمنوں کے اٹلی میں داخل ہونے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، پیچنیگس ، بلغاروں اور خاص طور پر <ans> سلجک ترکوں </ans> کے خلاف لڑے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	کون سا گروپ نے کے کے کے کے خلاف لڑا؟	کون سا مشہور گروپ نےوں پر حملہ کیا تھا؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک <ans> 1050 کی دہائی </ans> میں ہروی تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	کس دہائی میں دورانویویوی نے نے کب دہائی میں؟	ویوی دہائی میں کب دہائی میں؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک ہروی <ans> 1050 کی دہائی میں </ans> تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	کس سال میں پہلے کب سے پہلے کب؟	کس سے پہلے پہلے کب کب ہوا تھا؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک ہروی <ans> 1050 کی دہائی میں </ans> تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	کس سال میں پہلے کب سے پہلے کب؟	کس سے پہلے پہلے کب کب ہوا تھا؟
<ans> 1060 کی دہائی </ans> میں ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	کس سال میں کر کر کر دیا گیا تھا؟	کس دہائی میں کس سال میں کر دیا گیا تھا؟
<ans> 1060 کی دہائی میں </ans> ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	کس سال میں Conononon کے خلاف بغاوت کی قیادت کی؟	کس سال میں کر کر دیا گیا تھا؟
<ans> 1060 کی دہائی میں </ans> ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	کس سال میں Conononon کے خلاف بغاوت کی قیادت کی؟	کس سال میں کر کر دیا گیا تھا؟
روسل ڈی بیلول نے یہاں تک کہ مقامی آبادی کی حمایت سے ایشیاء مائنر میں ایک آزاد ریاست بنانے کی کوشش کی ، لیکن اسے بازنطینی جنرل <ans> الیکسیس کومنیوس </ans> نے روک دیا۔	کون ایک آزاد ریاست کے لئے Roussel ڈی Bailleul کے منصوبوں کو برباد کر دیا؟	جنرل جنرل نے کس کو کس کو کس کو کس نے بھیجا؟	جنرل ونگ نے کس کو کس کو کس نے بھیجا؟
انہوں نے یہاں تک کہ اپنے قلعے کے نام کو اپنی نسلیت دی: <ans> افرانجی </ans> ، جس کا مطلب فرینکس ہے۔	نارمن قلعے کا نام کیا تھا؟	انگریزی کے اپنے نام کے نام سے اپنے نسلی نسلی نسلی نسلی نام کیا تھا؟	انگریزی نے اپنے آپ کو اپنے نسلی نام نسلی نام نسلی نام کیا تھا؟
<ans> اورسل </ans> نامی ایک نارمن نے شمالی شام میں اوپری فرات کی وادی میں فرینکس کی ایک فورس کی قیادت کی۔	فرینکس جب فرات کی وادی میں داخل ہوئے تو ان کا رہنما کون تھا؟	کون سا شمالی کیرولائنا میں ایک ایک کی ایک کی قیادت کی؟	شمالی کیرولائنا میں کون سی چھوٹی شخصیت نے کی؟
کچھ نارمنوں نے <ans> ترکی کی افواج </ans> میں شمولیت اختیار کی تاکہ دور مشرقی اناطولیہ میں آرمینیائی وابستہ ریاستوں ساسون اور تارون کی تباہی میں مدد کی جاسکے۔	نارمنز نے اناطولیہ میں کس کے ساتھ تعاون کیا؟	کچھوں نے کس میں میں شمولیت اختیار کی؟	کچھوں نے کس ملک میں شمولیت اختیار کی؟
بازنطینی یونان کے کئی خاندان کمینیئن بحالی کی مدت کے دوران <ans> نارمن مزدور </ans> نژاد تھے ، جب بازنطینی شہنشاہ مغربی یورپی جنگجوؤں کی تلاش کر رہے تھے۔	Raouliii خاندان کی ابتداء کیا تھی؟	یونان کے خاندان کے دوران مغربی سلاووں کے کس علاقے میں تھے؟	یونان کے خاندان کے خاندان کے دوران کون سے لوگ رہتے تھے؟
راولی <ans> راول نامی ایک اطالوی-نورمن </ans> سے descended تھے ، پیٹرلیفی ایک پیئر ڈی اولپس سے descended تھے ، اور البانیائی قبائل کا وہ گروپ جسے منیکیٹس کے نام سے جانا جاتا ہے وہ نارمنوں سے descended تھے جنہوں نے 1038 کی سسلی مہم میں جارج منیاسس کے تحت خدمات انجام دیں۔	Raouliii خاندان کی ابتداء کیا تھی؟	رارارا کس کس سے تعلق رکھتی تھے؟	رارا کا نام کیا تھا؟
راولی <ans> راول نامی ایک اطالوی-نارمن سے تعلق رکھتے تھے </ans> ، پیٹرلیفی ایک پیئر ڈی اولپس سے تعلق رکھتے تھے ، اور البانیائی قبائل کا وہ گروپ جسے منیکیٹس کے نام سے جانا جاتا ہے وہ نارمنوں سے تعلق رکھتا تھا جنہوں نے 1038 کی سسلی مہم میں جارج منیاسس کے تحت خدمات انجام دیں۔	Raouliii خاندان کی ابتداء کیا تھی؟	رارارارارا کون تھا؟	رارا رارا کون تھا؟
<ans> رابرٹ گسکارڈ </ans> ، ایک اور نارمن مہم جوئی جو پہلے اپنی فوجی کامیابیوں کے نتیجے میں اپولیا کے کاؤنٹ کی وقار کو بلند کیا گیا تھا ، نے بالآخر بازنطینیوں کو جنوبی اٹلی سے باہر نکال دیا۔	Apulia کے کاؤنٹ کا نام کیا تھا	کون سا کے ساتھ ساتھ، کون سا نے اپنی فوجی کے کے کی؟	کون کے ساتھ ساتھ، کون سا کے ساتھ کے ساتھ کی؟
شہر کی گارنیشن نے فروری <ans> 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنز کے حوالے کردیا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں نے کی نے کو ختم کر دیا؟	کس سال میں بوسٹن نے نیو یارک کو ختم کر دیا؟
شہر کی گارنیشن نے <ans> فروری 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنوں کے ساتھ دھوکہ دیا تھا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں نے نے نے کو کو دریافت کرنا شروع کیا؟	کس سال میں نیو یارک نے کس سال دریافت کیا گیا تھا؟
شہر کی گارنیشن نے <ans> فروری 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنوں کے ساتھ دھوکہ دیا تھا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں نے نے نے کو کو دریافت کرنا شروع کیا؟	کس سال میں نیو یارک نے کس سال دریافت کیا گیا تھا؟
کروشیا اور ڈلمیٹیا کے کیتھولک شہروں کے ساتھ اتحاد کرنے کے بعد ، 1081 میں اس نے 300 بحری جہازوں میں <ans> 30،000 </ans> مردوں کی ایک فوج کی قیادت کی جو البانیہ کے جنوبی ساحل پر اتری ، والونا ، کینینا ، یریحو (اوریکومی) پر قبضہ کرلی ، اور متعدد لوٹ مار کے بعد بٹرنٹ پہنچی۔	رابرٹ کی فوج میں کتنے آدمی تھے؟	10 101 میں میں کتنے بحری جہازوں نے کتنے میں؟	1061 میں بحری بحری جہازوں میں کتنے آدمی تھے؟
دریں اثنا ، انہوں نے پیٹرا ، دریا <ans> ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	نارمنز اور بازنطینیوں نے امن معاہدے پر کہاں دستخط کیے؟	دریا کے دریا دریا کے دریا کس دریا کے؟	دریا کے دریا دریا کس دریا کے؟
پہلی صلیبی جنگ کے چند سال بعد ، 1107 میں ، رابرٹ کے بیٹے <ans> بوہیمنڈ </ans> کی کمانڈ میں نارمنز والونا میں اتریں اور اس وقت کے سب سے نفیس فوجی سازوسامان کا استعمال کرتے ہوئے ڈیرراچیم کا محاصرہ کیا ، لیکن اس سے کوئی فائدہ نہیں ہوا۔	رابرٹ کا بیٹا کون تھا؟	کون سا کے دوران کون کے دوران کون نے کس کی؟	کون کے دوران کون کے دوران کون کون تھا؟
دریں اثنا ، انہوں نے پیٹرا ، دریا <ans> ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	پیٹریلا کس دریا کے کنارے واقع تھا؟	دریا کے دریا دریا کے دریا کس دریا کے؟	دریا کے دریا دریا کس دریا کے؟
دریں اثنا ، انہوں نے پیٹریلا ، <ans> دریائے ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	پیٹریلا کس دریا کے کنارے واقع تھا؟	کون سا کے ساتھ کے تھا؟	کس نے کے ساتھ تھا؟
بازنطینی ریاست کے مزید زوال نے <ans> 1185 </ans> میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔	نارمنز نے ڈیرراچیم پر کب حملہ کیا؟	کس سال میں نے نے نے حملہ کیا؟	کس سال میں نے پر حملہ کیا گیا تھا؟
بازنطینی ریاست کے مزید زوال نے <ans> 1185 میں </ans> تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔	نارمنز نے ڈیرراچیم پر کب حملہ کیا؟	کس سال میں نے نے نے حملہ کیا؟	کس سال میں نے پر حملہ کیا گیا تھا؟
بازنطینی ریاست کے مزید زوال نے 1185 میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے <ans> ڈیرریچیم </ans> پر حملہ کیا۔	بحری اڈے کو کیا کہا جاتا تھا؟	کون سا نے حملہ کیا؟	کون نے حملہ کیا تھا؟
کچھ وقت بعد ، <ans> ایڈریٹک </ans> کے سب سے اہم بحری اڈوں میں سے ایک ، ڈراچیم دوبارہ بازنطینی ہاتھوں میں آگیا۔	Dyrrachium کہاں واقع تھا؟	کس خاندان کے دوران میں بحری بحری جہازوں کا نام کیا تھا؟	کون سے بحری بحری جہازوں کا نام بتائیں؟
کچھ وقت بعد ، <ans> ایڈریٹک </ans> کے سب سے اہم بحری اڈوں میں سے ایک ، ڈراچیم دوبارہ بازنطینی ہاتھوں میں آگیا۔	Dyrrachium کہاں واقع تھا؟	کس خاندان کے دوران میں بحری بحری جہازوں کا نام کیا تھا؟	کون سے بحری بحری جہازوں کا نام بتائیں؟
اس تعلقات نے بالآخر نارمنڈی کے ڈیوک رچرڈ دوم کی بہن ایما اور انگلینڈ کے <ans> کنگ ایتھلریڈ دوم </ans> کی شادی کے ذریعے خون کے قریبی تعلقات پیدا کیے۔	ایما نے کس سے شادی کی؟	شادی کی شادی کی شادی کی شادی کی؟	شادی کی شادی کی شادی کس نے کی شادی کی؟
