source	reference	greedy	beam
اس اصطلاح کا پہلے پہل استعمال آسٹریا میں قدیمہ قوم پرست یہودی تلامذہ تحریک کے بانی <ans> ناتھن برنبام </ans> سےمنسوب کیا جاتا ہے۔	ابتدائی قوم پرست یہودی طلبہ تحریک کا بانی کون تھا؟	"\""مہہت\"" کے لئے کس اصطلاح سے استعمال کیا جاتا ہے؟"	"\""مہہت\"" کا نام کیا ہے؟"
اس نے <ans> 1890ء </ans> میں اپنے جریدے Selbstemanzipation (خود خلاصی) میں اصطلاح استعمال کیا ،جو لیؤن پنسکر کی 1882ء کتاب ’’خود خلاصی‘‘ کےتقریبا بعینہ تھی ۔	"نیتھن برنبام نے پہلی بار ""محبوب صیہونیوں"" کی اصطلاح کب بنائی؟"	سال میں  نے  سال میں  گیا تھا؟	کس سال میں  سال میں  گیا تھا؟
اس نے 1890ء میں اپنے جریدے <ans> Selbstemanzipation (خود خلاصی) </ans> میں اصطلاح استعمال کیا ،جو لیؤن پنسکر کی 1882ء کتاب ’’خود خلاصی‘‘ کےتقریبا بعینہ تھی ۔	ناتھن برنبام کے جریدے کا نام کیا تھا؟	اس کتاب نے نام کیا تھا جس نے سعے کے لئے استعمال کیا؟	اس کتاب میں نام کیا تھا جس نے نام کیا تھا؟
اس وقت اس تحریک کا مقصد <ans> یہود کو سلطنت عثمانیہ کی جانب ہجرت </ans> کرنے پر ابھارنا تھا۔	انیسویں صدی میں صیہونیت کی تحریک کا مقصد کیا تھا؟	اس وقت کا مقصد کیا تھا؟	اس وقت کا مقصد مقصد کیا تھا؟
مجرستانی <ans> صحافی </ans> تھیوڈور ہرتزل نے 1897ء میں اپنی کتاب (Der Judenstaat : یہودی ریاست ) لکھنے کے بعدرکھا۔	تھیوڈور ہرتزل کا پیشہ کیا تھا؟	م مقیی نے کس میں کس کتاب کا کتاب لکھا؟	م مقی مقی نے کس کا نام کس نے لکھا؟
مجرستانیصحافی تھیوڈور ہرتزل نے <ans> 1897ء </ans> میں اپنی کتاب (Der Judenstaat : یہودی ریاست ) لکھنے کے بعدرکھا۔	سیاسی صیہونی تحریک کا باقاعدہ قیام کب عمل میں آیا؟	کس سال میں کتاب نے کتاب کتاب کتاب کتاب کتاب لکھی؟	مححیح نے کس سال کتاب کتاب لکھی کتاب لکھی؟
مجرستانیصحافی تھیوڈور ہرتزل نے <ans> 1897ء </ans> میں اپنی کتاب (Der Judenstaat : یہودی ریاست ) لکھنے کے بعدرکھا۔	تھیوڈور ہرتزل نے اپنی کتاب (Der Judenstaat : یہودی ریاست ) کب لکھی؟	کس سال میں کتاب نے کتاب کتاب کتاب کتاب کتاب لکھی؟	مححیح نے کس سال کتاب کتاب لکھی کتاب لکھی؟
<ans> مملکت متحدہ </ans> کے ساتھ اتحاد بنانے اور فلسطین کی جانب ہجرت کرنے کے لیے اس کی حمایت حاصل کرلینے کے بعد، صہیونیوں نے یورپی یہود کو وہاں جانے کے لیے بھرتی بھی کیے، خاصکر وہ یہود جو روسی سلطنت کے ان علاقوں میں رہے جہاں سام دشمنی عروج پر تھی۔	صیہونیوں نے کس کے ساتھ اتحاد کیا؟	کس کے ساتھ ساتھ کے ساتھ اتحاد کرنے کے کوشش کی؟	کس قوم کے ساتھ اتحاد کرنے کی کوشش کر رہا تھا؟
یہ تحریک بالاخر <ans> 14 مئی 1948ء </ans> کو اپنے مقصد میں کامیاب ہوئی اور یہودی قوم کے لیے ایک ریاست قائم کی۔	صیہونی تحریک یہودی ریاست کے قیام میں کب کامیاب ہوئی؟	کس تاریخ پر کب پیدا ہوا؟	کس تاریخ پر کب پیدا کیا گیا تھا؟
اسرائیل میں یہودی آبادی کا تناسب اس تحریک کے ابھرنے کے بعد سے <ans> مسلسل بڑھ رہا ہے </ans> ۔	اسرائیل میں یہودی آبادی کے تناسب کے ساتھ کیا ہو رہا ہے؟	اسرائیل میں یہودی آبادی کا کتنا اثر پڑا؟	اسرائیل کی آبادی کا کتنا اثر پڑا؟
ایکیسویں صدی کے آغاز سے تمام دنیا کے <ans> % 40 </ans> یہود اسرائیل میں رہ رہے ہیں جو کسی بھی ملک کے یہود کی تعداد سے زیادہ ہے۔	دنیا کے کتنے فیصد یہودی اسرائیل میں رہتے ہیں؟	کتنے صدی میں کتنے لوگ کتنے لوگ کتنے ہیں ہیں؟	کتنے صدی میں دنیا بھر میں دنیا میں کتنے لوگ ہیں ہیں؟
مملکت متحدہ کے ساتھ اتحاد بنانے اور <ans> فلسطین </ans> کی جانب ہجرت کرنے کے لیے اس کی حمایت حاصل کرلینے کے بعد، صہیونیوں نے یورپی یہود کو وہاں جانے کے لیے بھرتی بھی کیے، خاصکر وہ یہود جو روسی سلطنت کے ان علاقوں میں رہے جہاں سام دشمنی عروج پر تھی۔	صیہونیوں نے یورپی یہودیوں کو کہاں منتقل کرنے کے لیے بھرتی کیا؟	کس کے ساتھ ساتھ، کون سا ملک نے  کے ساتھ کے کر دیا؟	کس کے ساتھ ساتھ، کون سا ملک کے ساتھ ساتھ کر رہا تھا؟
اس <ans> جلاوطنی کی وجہ سے </ans> بہت سے یہود اپنے اختیار کردہ ممالک میں پردیسی بنکر رہتے رہے چنانچہ وہ جدیدیت اور نئے تصورات سے منفصل و بے بہرہ رہے۔	کس وجہ سے بہت سے یہود اپنے اختیار کردہ ممالک میں پردیسی بنکر رہتے رہے؟	بہت سے ممالک میں کیوں بن گئے؟	بہت سے ممالک میں بہت سے ممالک کیوں بن گئے؟
ثقافتی ترکیب نے روایتی یہودی اقدار و عقائدکو برقرار رکھنے اور جدید معاشرے سے ہم آہنگی کی ضرورت دونوں ہی پر زور دیا مثلاّ <ans> ہفتے سے اتوار کے دن کی چھٹی </ans> و دیگرآداب معاشرت۔	جدید معاشرے کے عقیدے کی مثال کیا ہے جسے یہودیوں کو اپنانا پڑا؟	ثقافتی ثقافتی ماہر و خروش نے مععثے کو معثثے کی؟	ثقافتی ثقافتی ماہر و خروش نے مععثے کی مععثے کو متاثر کیا؟
نام نہاد انجذاب پسند <ans> یہودیوں کی یورپی معاشرے میں مکمل جذب </ans> ہو جانے کی تمنی کرتے رہے اور جدیدیت اور انجذاب معاشرہ کے لیے وہ اپنی یہودیت ، یہودی روایات و تمدن میں تخفیف کرنے پر بھی آمادہ تھے۔	انجذاب پسند کیا چاہتے تھے؟	قاباباب نے کیا کی؟	قاباب نے کیا کی؟
<ans> مفکر صہیونیت </ans> ،تھیوڈور ہرتزل نے سام دشمنی کوان تمام معاشروں کاایک ابدی پہلو قرار دیا تھا جہاں یہود اقلیت میں رہ رہے تھے اور یہ کہ ’’صرف ان معاشروں سے علیحدگی ہی اس ابدی عقوبت سے خلاصی دے سکتی ہے۔	تھیوڈور ہرتزل کون تھا؟	کس نے کہا کہ مشیم کو کو کو مسترد نہیں تھا؟	کس نے کہا کہ مشیم کو مسترد نہیں تھا؟
صہیونیت کو اسرائیلی ریاست بنانے کے سیاسی مقصد کو مد نظر رکھتے قائم کیا گیا تھا جہاں <ans> یہود اکثریت میں ہوں </ans> نہ کہ اقلیت میں جیسے وہ مختلف اقوام کے تحت جلاوطنی میں رہتے رہے۔	اسرائیل میں یہودی آبادی کے تناسب کے حوالے سے صیہونیت کا مقصد کیا تھا؟	"کون سا ریاست نے ریاست کو ریاست کو \""حقت\"" قرار دیا؟"	"کون سی ریاست نے ریاست کو \""ایکحت\"" قرار دیا گیا تھا؟"
وہ اگر صرف <ans> ہمارے لوگوں کی ضروریات کے لیے کافی زمین کے ٹکڑے پر خود مختاری </ans> دے دیں ، تو باقی ہم خود کر لیں گے ‘‘ اس نے یہ دعوی ٰکر کے اپنے عزائم چاک کیے۔	تھیوڈور ہرتزل کے مطابق صہیونی عزائم کے لیے کیا کافی تھا؟	Athanasius نے کیا کیا کیا؟	یہ فیصلہ کرنے کے کیا؟
صہیونی عموماً <ans> عبرانی </ans> زبان بولنے کو ترجیح دیتے ہیں، ایک ایسی سامی زبان جو قدیم یہوداہ میں یہودی آزادی کے دوران وجود میں آئی،جسے انہوں نے جدت دی اور روزمرہ استعمال کے لیے قابلِ گفتار بنایا۔	صیہونی کون سی زبان بولنا پسند کرتے ہیں؟	اکاممم کس زبان زبان زبان رکھتی ہے؟	اکامم کس زبان زبان بولتے ہیں؟
صہیونی عموماً عبرانی زبان بولنے کو ترجیح دیتے ہیں، ایک ایسی سامی زبان جو <ans> قدیم یہوداہ </ans> میں یہودی آزادی کے دوران وجود میں آئی،جسے انہوں نے جدت دی اور روزمرہ استعمال کے لیے قابلِ گفتار بنایا۔	عبرانی کی ابتدا کہاں سے ہوئی؟	اکامیاکا زبان کس زبان میں ہے؟	چیک زبان میں اکاشم زبان میں کس زبان میں ہے؟
صہیونی <ans> یدیش </ans> بولنے کا انکار بھی کرتے ہیں، جسے وہ ایسی زبان سمجھتے ہیں جو یورپی عقوبت میں پروان چڑھی۔	صیہونی کون سی زبان بولنے سے انکاری ہیں؟	ا کیا ہے؟	ا  ا کیا ہے؟
عبرانی نہ صرف نظریاتی وجوہ سے اپنائی گئی بلکہ اس زبان کی وجہ سے نئی ریاست کے <ans> مختلف زبان بولنے والےشہریوں کو ایک زبان پر مجتمع ہونے کا موقع ملا </ans> ۔	نظریاتی وجوہات کے علاوہ، یہودیوں نے عبرانی کو کیوں اپنایا؟	نئی ریاست کے کس طرح کی بولی جاتی تھی؟	نئی ریاست نے کس زبان کے بولی کو فروغ دیا؟
یہودیت ، عیسائیت اور <ans> اسلام </ans> کے مطابق ارض اسرائیل ہی وہ موعود جگہ تھی جو یہود کو اللہ نے دی۔	یہودیت، عیسائیت اور کس دوسرے مذہب کے مطابق اسرائیل کی سرزمین خدا کی طرف سے یہودیوں کو دی گئی وعدہ شدہ زمین تھی؟	کس نے سوچا کہ کہ ععظے کو ععہہ؟	کس نے سوچا کہ کہ مسلمانوں کے ععظے؟؟
یہود کو اس خطہ ارض سے <ans> 586 ق م </ans> میں اسیری بابل کے دوران نکالا گیا۔	کس سال یہودیوں کو اسرائیل سے نکالا گیا؟	یہودود نے کب مر گیا؟	یہودود کب مر گیا؟
بابلیوں نے <ans> ہیکل سلیمانی </ans> کو تباہ کیا جو یہود کا ثقافتی اور مذہبی قبلہ تھا۔	یہودیوں کا ثقافتی اور مذہبی قبلہ کیا تھا؟	کون سا گروپ نے نے تباہ کیا؟	کونیوں کو کس نے تباہ تباہ کیا؟
بار کوخبہ بغاوت کے بعد <ans> سام دشمنی اور یہودی عقوبت میں اچانک اضافہ ہوا </ans> ۔	بار کوخبہ بغاوت کا نتیجہ کیا نکلا؟	بغاوت کے بعد بغاوت کے بعد بغاوت کو کیا کرنے کے بعد کیا کیا؟	بغاوت کے بعد بغاوت کے بعد بغاوت کے بعد کیا ہوا؟
پہلی صدی عیسوی کے بغاوت عظیم اور دوسری صدی کے بر کوخبا بغاوت کےبعد <ans> رومیوں </ans> نے یہود کو ریاست /صوبہ یہودیہ سے بیدخل کیا اور اس کا نام بدل کر سوریہ فلسطینیہ رکھ دیا۔	یہودیوں کو یہودیہ سے کس نے نکالا؟	کس نے نے کوہہہہہہہہہہہہہ قرار دیا؟	کس صدی کے آخر میں ہہ نےہہ کاہہ تھا؟
صہیون دراصل <ans> یروشلم کے قریب ایک پہاڑی </ans> ہے،اور وسیع طور پہ ارض اسرائیل کے لیے استعارہ ہے۔	صیون اصل میں کیا ہے؟	"ہہہ ہہ ہہہ ہہہ ہہہ \"" کے لئے ہے؟"	ارہہ ہہ ہہ ہہ کس قسم کا پہاڑی ہے؟
16ویں صدی کے وسط میں ، یوسف نصی نے <ans> عثمانی سلطنت </ans> کی حمایت سے پرتگالی یہود کو اکھٹا کرنے کی کوشش کی، انہوں نے پہلے قبرص ہجرت کرنا تھی، پھر جمہوریہ وینس کی ملک میں آنا تھا اور آخر کار طبریہ میں آبادہونا تھا۔	یوسف ناسی نے پرتگیزی یہودیوں کو کس کے ساتھ ملانے کی کوشش کی؟	فف نے کس کی کس سے کس کی؟	ففی نے کس کس نے کی؟
16ویں صدی کے وسط میں ، یوسف نصی نے عثمانی سلطنت کی حمایت سے پرتگالی یہود کو اکھٹا کرنے کی کوشش کی، انہوں نے پہلے قبرص ہجرت کرنا تھی، پھر <ans> جمہوریہ وینس </ans> کی ملک میں آنا تھا اور آخر کار طبریہ میں آبادہونا تھا۔	تبریاس سے پہلے، سلطنت عثمانیہ کو کہاں جانا تھا؟	قبرص کی کس ملک میں ملک کی؟	قبرص نے کس ملک میں قبرص کی؟
16ویں صدی کے وسط میں ، <ans> یوسف نصی </ans> نے عثمانی سلطنت کی حمایت سے پرتگالی یہود کو اکھٹا کرنے کی کوشش کی، انہوں نے پہلے قبرص ہجرت کرنا تھی، پھر جمہوریہ وینس کی ملک میں آنا تھا اور آخر کار طبریہ میں آبادہونا تھا۔	چوتھی اور انیسویں صدی کے درمیان، فلسطین میں یہودیوں کا سیاسی مرکز بنانے کی واحد عملی کوشش کس نے کی؟	پرتگالی سلطنت نے کس کی کی کی؟	پرتگالی سلطنت نے کس کو کس نے کی کوشش کی؟
17 ویں صدی میں سباتائی زیوی (1676ء-1626ء) نے <ans> مسیح </ans> ہونے کا اعلان کیااور اپنے گرد بہت سے یہود کو جمع کرنے میں کامیاب ہو گیا، سلونیکا اس کا گھڑ تھا۔	سترھویں صدی میں سباتائی زیوی نے کیا ہونے کا دعویٰ کیا؟	کس سال میں کا اعلان کیا گیا تھا؟	کس سال میں کا اعلان کیا گیا تھا؟
17 ویں صدی میں سباتائی زیوی (1676ء-1626ء) نے مسیح ہونے کا اعلان کیااور اپنے گرد بہت سے یہود کو جمع کرنے میں کامیاب ہو گیا، <ans> سلونیکا </ans> اس کا گھڑ تھا۔	سباتائی زیوی کا گھڑ کیا تھا؟	مسیح میں مسیح کے مسیح میں کون سا کو کس نے کا کیا؟	مسیح کے مسیح میں مسیح کو کس نے کہا جاتا تھا؟
اس نے غزہ میں آبادکاری کی کوشش کی لیکن بعد میں <ans> سمیرنا ، یونان </ans> گیا۔	سباتائی زیوی آخر کہاں آباد ہوا؟	کون سا ملک میں ہہہہہ کی کوشش کی؟	کون سا ملک نے ہزہہ کی کوشش کوشش کی؟
بوگدان خملنیسکی کے خونریز پوگروم میں <ans> ایک تہائی </ans> یہودی آ بادی کا صفایا کردیاگیا اور بہت سے یہودی تعلیمی اور مشترکہ زندگی کے مراکز تباہ کیے گئے۔	بوگدان خملنیسکی خونی قتل عام نے یہودیوں کی کتنی آبادی کا صفایا کر دیا؟	کتنےگگگ نے کتنے یہودی یہودی کی اولاد؟	کتنےگگ نے کتنے میں کتنے یہودی یہودی رہتے تھے؟
اصلاحی یہود نے <ans> صہیون واپسی کےنظریہ </ans> کی مخالفت کی۔	اصلاحی یہودیوں نے کس نظریے کی مخالفت کی؟	یی نے نے کس کی مخالفت کی؟	یُی نے نے کس کی مخالفت کی؟
یہودی ربیوں کی 15سے 18جولائی1845ء کو <ans> فرینکفرٹ مین </ans> میں منعقد مجلس نے ایسی تمام دعائیں اپنی کتابوں سے حذف کر دیں جو صہیون واسپی اور یہودی ریاست کی بحالی سے متعلق تھیں۔	یہودی ربیوں کی مجلس کہاں منعقد ہوئی؟	محرو نے کس کی میں کس نے معالہ کی؟	محرو نے نے کس کی معالہ کس نے لکھا؟
دیگرنومذہب یہودی <ans> امریکی ایلچی </ans> وارڈر کریسن کی جانب سے 1850ءمیں یروشلم کے قریب قائم کی گئیں۔	وارڈر کریسون کون تھا؟	ڈرہہہ میں کس قسم کی موسیقی کی؟	ڈرحہہ میں کون ساڈرمہ میں کون سا تہوار شروع کیا؟
کریسن پر اس کی بیوی اور لڑکےکی جانب سے ایک مقدمہ میں <ans> پاگل پن </ans> کا دعوی ٰکیا گیا تھا۔	وارڈر کریسن پر کس چیز کا مقدمہ چلایا گیا؟	ڈیوڈیب نے کس کے کا بببب کا؟	جانیبب نے نے کس قسم کا قبب کا؟
اس کے بعد کریسن نے عثمانی سلطنت ہجرت کی اور یروشلم کی رفائیون وادی میں <ans> زرعی کالونی </ans> قائم کی۔	سلطنت عثمانیہ میں ہجرت کرنے کے بعد وارڈر کریسن نے کیا قائم کیا؟	منلیلی نے کیا قائم کیا؟	منانیون نے کیا قائم کیا قائم کیا؟
